objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year
,Phungling Nagarpalika,TAPLEJUNG,Phungling,Nagarpalika,1,1,6,10106,524 1 01 3 001,NP0101301,h_i_p_c_u_o_y_i_dpt_hepB_hib3,90.9,Percentage of children under one year immunized with DPT-HepB-Hib3,,Health Indicators ,
,Phaktanglung Gaunpalika,TAPLEJUNG,Phaktanglung,Gaunpalika,1,1,5,10101,524 1 01 4 001,NP0101401,h_i_p_c_u_o_y_i_dpt_hepB_hib3,105.6,Percentage of children under one year immunized with DPT-HepB-Hib3,,Health Indicators ,
,Mikwakhola Gaunpalika,TAPLEJUNG,Mikwakhola,Gaunpalika,1,1,4,10102,524 1 01 4 002,NP0101402,h_i_p_c_u_o_y_i_dpt_hepB_hib3,93.6,Percentage of children under one year immunized with DPT-HepB-Hib3,,Health Indicators ,
,Sirijangha Gaunpalika,TAPLEJUNG,Sirijangha,Gaunpalika,1,1,8,10108,524 1 01 4 003,NP0101403,h_i_p_c_u_o_y_i_dpt_hepB_hib3,70.3,Percentage of children under one year immunized with DPT-HepB-Hib3,,Health Indicators ,
,Meringden Gaunpalika,TAPLEJUNG,Meringden,Gaunpalika,1,1,3,10103,524 1 01 4 004,NP0101404,h_i_p_c_u_o_y_i_dpt_hepB_hib3,71.9,Percentage of children under one year immunized with DPT-HepB-Hib3,,Health Indicators ,
,Maiwakhola Gaunpalika,TAPLEJUNG,Maiwakhola,Gaunpalika,1,1,2,10104,524 1 01 4 005,NP0101405,h_i_p_c_u_o_y_i_dpt_hepB_hib3,78,Percentage of children under one year immunized with DPT-HepB-Hib3,,Health Indicators ,
,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,1,1,10105,524 1 01 4 006,NP0101406,h_i_p_c_u_o_y_i_dpt_hepB_hib3,88.3,Percentage of children under one year immunized with DPT-HepB-Hib3,,Health Indicators ,
,Yangwarak Gaunpalika,TAPLEJUNG,Yangwarak,Gaunpalika,1,1,9,10107,524 1 01 4 007,NP0101407,h_i_p_c_u_o_y_i_dpt_hepB_hib3,79.8,Percentage of children under one year immunized with DPT-HepB-Hib3,,Health Indicators ,
,Sidingba Gaunpalika,TAPLEJUNG,Sidingba,Gaunpalika,1,1,7,10109,524 1 01 4 008,NP0101408,h_i_p_c_u_o_y_i_dpt_hepB_hib3,77.7,Percentage of children under one year immunized with DPT-HepB-Hib3,,Health Indicators ,
,Phidim Nagarpalika,PANCHTHAR,Phidim,Nagarpalika,1,2,15,10904,524 1 02 3 001,NP0102301,h_i_p_c_u_o_y_i_dpt_hepB_hib3,89.6,Percentage of children under one year immunized with DPT-HepB-Hib3,,Health Indicators ,
