,gridcode,id,province_id,province__name,district_id,district__name,municipality_id,municipality__name,name,category,category__name,type,type__name,ownership,contact_person,contact_num,used_for_corona_response,num_of_bed,num_of_icu_bed,occupied_icu_bed,num_of_ventilators,occupied_ventilators,num_of_isolation_bed,occupied_isolation_bed,total_tested,total_positive,total_death,total_in_isolation,hlcit_code,remarks,lat,long,robert_ID,PROVINCE,PALIKA,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_5,f_60,f_65,f_70,f_75,f_80,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_5,m_60,m_65,m_70,m_75,m_80,male_total,female_total,male_highrisk,female_highrisk,total,all_highrisk,all_risk_pct,male_risk_pct,female_risk_pct
0,2,,7,Sudoorpaschim Province,72,Kanchanpur,524 7 72 3 002,Bhimdatta Nagarpalika,Mahakali Hospital,10,Health Facility,18,Designated Hospital at Province,1,,099 - 521111,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.96395,80.18549,2,7,Bhimdatta Nagarpalika,23869.64584,29393.13924,29754.42219,26734.9184,22193.21847,20419.36644,18494.7371,16397.68055,14648.96416,13038.91171,21007.4826,10412.20908,8307.337928,6415.707964,5111.486165,3362.103497,24743.05359,26726.1286,21393.81273,16491.28624,14465.90051,12479.27287,12348.64127,11418.27474,11283.34954,10420.49631,20970.12427,8679.122054,7535.722758,6177.481138,4839.321161,3183.087753,213155.0755,245691.6855,30414.73486,33608.84463,458846.761,64023.57949,0.139531506,0.142688298,0.136792764
1,5,,7,Sudoorpaschim Province,71,Kailali,524 7 71 2 001,Dhangadhi Upamahanagarpalika,Seti Zonal Hospital,10,Health Facility,18,Designated Hospital at Province,1,,091-524281,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.70354,80.5876,5,7,Dhangadhi Upamahanagarpalika,103832.4375,128543.8908,131391.8737,116473.2908,93712.37707,86187.03595,77554.26933,70168.33751,61178.69004,53081.76788,93065.53597,43402.33651,35277.0058,26491.917,20316.70704,13363.40692,107792.2276,116541.642,91859.06695,72363.44926,63351.80006,55898.45461,53915.56669,49278.16111,47696.35216,44146.5419,94335.91243,36612.43351,32051.4395,26061.37111,20078.43473,13206.69146,925189.545,1050208.442,128010.3703,138851.3733,1975397.987,266861.7436,0.135092647,0.138361237,0.132213157
2,17,,6,Karnali Province,59,Surkhet,524 6 59 3 003,Birendranagar Nagarpalika,Surkhet Hospital,10,Health Facility,18,Designated Hospital at Province,0,,083-525417,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.59539,81.60827,17,6,Birendranagar Nagarpalika,32027.24071,38386.41327,41869.13465,36322.24966,29538.73008,25366.34629,22032.51006,18634.11576,16229.17002,14001.05422,31013.3773,10929.72839,8563.107896,6287.451376,4641.214484,3052.780045,33228.24064,34130.67241,31403.78329,25977.57014,21624.29679,18827.37077,16944.50819,14919.42173,13835.93238,12110.39616,31349.83999,9941.119776,8447.206004,6515.416794,4779.296042,3143.606057,287178.6772,306867.3835,32826.64467,33474.28219,594046.0607,66300.92686,0.111609067,0.114307389,0.109083871
3,20,,6,Karnali Province,61,Dailekh,524 6 61 3 004,Narayan Nagarpalika,Dailekh Hospital,10,Health Facility,18,Designated Hospital at Province,1,,089-420127,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.82714,81.71029,20,6,Narayan Nagarpalika,5827.168098,7426.052589,7791.370925,6638.819617,5370.82921,4809.12617,4352.131177,3666.792681,3110.895293,2687.769933,5396.047595,2113.190591,1652.661696,1252.013969,927.7381336,610.2239512,6170.056284,6489.028123,5654.690501,4515.94337,3722.404207,3434.557371,3299.336736,2948.631229,2678.043787,2355.284804,5439.073844,1783.570964,1510.430508,1138.667664,916.2078463,602.6402872,52658.56753,57805.66353,5951.51727,6555.828341,110464.2311,12507.34561,0.113225299,0.113020873,0.113411523
4,38,,5,Province 5,51,Gulmi,524 5 51 3 002,Resunga Nagarpalika,Tamghas Hospital,10,Health Facility,18,Designated Hospital at Province,1,,079-540024,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.06831,83.24872,38,5,Resunga Nagarpalika,28750.02426,31229.6364,33434.38022,29031.01159,24097.49847,20401.65887,17094.17368,13538.42191,10709.57711,9074.143957,30201.05525,8524.287701,6391.398266,4712.66539,2651.429467,1743.989787,30333.70725,29339.73639,32508.47049,29275.05337,23613.81104,20345.10344,16271.22835,13257.80695,10134.64343,8645.243583,30468.47774,7095.887153,5600.296884,3966.290588,2309.755873,1519.253552,264684.7661,242835.3281,20491.48405,24023.77061,507520.0941,44515.25466,0.087711315,0.077418449,0.098930295
5,40,,5,Province 5,48,Rupandehi,524 5 48 2 001,Butwal Upamahanagarpalika,Lumbini Zonal Hospital,10,Health Facility,18,Designated Hospital at Province,1,,071-540200,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,27.6977,83.46437,40,5,Butwal Upamahanagarpalika,95003.1757,102102.1806,111380.941,94402.61862,79721.7544,68659.03315,56352.79486,46323.47224,36146.49622,30801.24478,96625.67137,27260.25721,21306.30154,15772.87935,9828.021403,6464.425628,100519.5013,96107.2568,98775.44252,88533.10594,79285.76666,68661.52842,58008.26638,47578.34859,36884.4795,30808.3191,97840.55911,25196.5123,20075.4915,14378.51139,9513.763654,6257.725746,878424.5789,803148.0923,75422.0046,80631.88513,1681572.671,156053.8897,0.092802347,0.085860535,0.100394791
6,45,,4,Gandaki Province,43,Baglung,524 4 43 3 003,Baglung Nagarpalika,Dhaulagiri Zonal Hospital,10,Health Facility,18,Designated Hospital at Province,1,Dr.Shailendra Pokhrel,9851176425,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.26823,83.60075,45,4,Baglung Nagarpalika,36693.28516,36382.79568,38798.94854,33451.77563,27549.4428,23978.28755,19942.431,15806.85685,13206.55551,10485.85694,43013.75163,12631.14445,7389.077648,4562.686279,2276.588538,1497.436459,38059.85483,36196.1552,44726.65238,41989.53938,32827.6824,29087.82508,23051.47425,18750.16841,13400.89909,12286.23651,42621.23693,11044.19746,6784.219997,4023.015533,2383.841795,1567.983945,358800.9832,290973.6355,25803.25872,28356.93337,649774.6187,54160.19209,0.083352274,0.07191524,0.097455336
7,61,,4,Gandaki Province,36,Gorkha,524 4 36 3 002,Gorkha Nagarpalika,Gorkha Hospital,10,Health Facility,18,Designated Hospital at Province,1,,064-420208,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,27.99464,84.62814,61,4,Gorkha Nagarpalika,27797.13067,28401.62244,29583.34533,25039.68756,20953.88949,18085.13945,15903.71415,13624.20811,10513.74325,8542.355506,31904.8189,8846.368641,6018.656768,4301.609525,2399.403132,1578.218311,29312.23119,28053.30333,31406.075,28899.44612,22378.79468,19695.58391,16065.59195,14574.98485,11109.59544,9226.976538,31272.42095,7916.87472,5378.700215,3881.318572,2410.334899,1585.409892,263167.6423,225696.7806,21172.6383,23144.25638,488864.4228,44316.89468,0.09065273,0.080453046,0.102545798
8,66,,2,Province 2,33,Bara,524 2 33 2 002,Kalaiya Upamahanagarpalika,Kalaiya/Barewa Hospital,10,Health Facility,18,Designated Hospital at Province,1,,053-550012,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,27.0275,85.0027,66,2,Kalaiya Upamahanagarpalika,146506.7726,126473.9035,144163.1088,152955.3039,141860.5482,118820.3665,98209.92133,80298.85848,61707.74637,55528.0794,168540.5988,44108.6794,34468.88945,23621.22689,11952.06041,7861.52227,159393.3092,151668.5897,165516.3381,163414.1518,141843.7705,131486.9521,108051.0671,88618.91142,67138.68053,58806.22303,171139.234,48124.55193,37471.04463,26410.63881,12653.58,8322.955985,1540059.999,1270570.814,132982.7713,122012.3784,2810630.812,254995.1498,0.090725238,0.086349085,0.096029578
9,69,,3,Bagmati Province,27,Kathmandu,524 3 27 3 008,Chandragiri Nagarpalika,Armed Police Force Hospital,10,Health Facility,14,Designated Valley Hospital,3,,985-1272008,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,27.69035,85.25199,69,3,Chandragiri Nagarpalika,15797.33904,20093.33418,22148.60199,20493.62974,16887.4016,14378.74221,13153.18333,10957.13291,9267.47208,7278.679047,15447.32524,4919.934515,3824.742398,2661.464091,2051.000727,1349.055041,16952.75161,20553.1535,22956.84895,20953.12217,17885.76215,14758.92674,13757.27804,11531.63607,10025.91285,7929.712799,15228.03017,5835.997047,4369.363005,3172.974464,2405.860946,1582.467124,189899.7976,164911.6991,17366.66259,14806.19677,354811.4967,32172.85936,0.090675921,0.091451717,0.089782574
