,gridcode,id,province_id,province__name,district_id,district__name,municipality_id,municipality__name,name,category,category__name,type,type__name,ownership,contact_person,contact_num,used_for_corona_response,num_of_bed,num_of_icu_bed,occupied_icu_bed,num_of_ventilators,occupied_ventilators,num_of_isolation_bed,occupied_isolation_bed,total_tested,total_positive,total_death,total_in_isolation,hlcit_code,remarks,lat,long,robert_ID,PROVINCE,PALIKA,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_5,f_60,f_65,f_70,f_75,f_80,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_5,m_60,m_65,m_70,m_75,m_80,male_total,female_total,male_highrisk,female_highrisk,total,all_highrisk,all_risk_pct,male_risk_pct,female_risk_pct
0,2,,7,Sudoorpaschim Province,72,Kanchanpur,524 7 72 3 002,Bhimdatta Nagarpalika,Mahakali Hospital,10,Health Facility,18,Designated Hospital at Province,1,,099 - 521111,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.96395,80.18549,2,7,Bhimdatta Nagarpalika,35039.285278603435,42429.66798234219,42853.926815064624,38680.818759292364,32297.050065220566,29819.980863278965,27487.39341243636,24220.416040747426,21557.731037777616,18731.68846509978,30747.940434700577,15100.28217331192,12014.778497102903,9666.337540975073,7697.925539492979,5063.34582132363,36132.7407152527,39016.07603038894,31720.772277297685,26285.115498143015,22374.424793081824,19719.867949455045,19585.525824725162,18188.016798542114,17627.275988191366,15750.980544026475,30659.048135317396,12973.952748436946,11061.64081648807,9230.93056288641,7435.221580683545,4890.554318229959,322652.14458114665,358369.28344816697,45592.30002672493,49542.669572206505,681021.4280293137,95134.96959893144,0.13969453189487083,0.1413048101258119,0.1382447432311038
1,5,,7,Sudoorpaschim Province,71,Kailali,524 7 71 2 001,Dhangadhi Upamahanagarpalika,Seti Zonal Hospital,10,Health Facility,18,Designated Hospital at Province,1,,091-524281,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.70354,80.5876,5,7,Dhangadhi Upamahanagarpalika,117117.91787819844,145010.68105522846,150108.3162217564,134191.55289526726,108097.6599587996,98659.62205780298,88557.14163571363,79748.30358394701,69330.41826278355,60000.209547528764,105591.34231046028,49083.74343424145,39936.80233909364,30424.63542806919,23076.850796710263,15178.904033058308,121903.9891261668,133001.72850500047,110172.09568062029,89899.60802085535,77221.97950660693,67501.15742921794,64366.03855054837,57975.589401085046,55248.55214519263,50632.07403812662,107116.75944212661,41705.03210914484,36305.734618107264,29588.68758885737,22639.477747082216,14891.230354063751,1080169.7342628026,1196996.1835604608,145130.16241725546,157700.93603117287,2277165.9178232634,302831.0984484283,0.1329859612240744,0.1343586640263572,0.13174723378155812
2,17,,6,Karnali Province,59,Surkhet,524 6 59 3 003,Birendranagar Nagarpalika,Surkhet Hospital,10,Health Facility,18,Designated Hospital at Province,0,,083-525417,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.59539,81.60827,17,6,Birendranagar Nagarpalika,65114.30270052282,75350.57607328275,81503.05420849798,71367.37416136137,57990.04476682877,49115.41131343134,41928.37148888083,34452.45021011209,28896.604673203372,24879.101005657867,64261.511052442365,19513.493927606673,14959.271824839729,10441.988863272316,7126.4759827644375,4687.472160391808,67895.83001535782,69393.13831752317,70544.41296873917,59399.50867450406,49217.646429998276,42454.142251922225,36741.07443427452,30594.25434563472,26699.047423413373,22859.81073368498,64966.699448635336,18388.695734445966,15048.122061420378,10724.971956576366,7381.232406357332,4855.042792717824,597163.6299952056,586473.2017125736,56398.06495151787,56728.70275887496,1183636.831707779,113126.76771039283,0.09557557240523756,0.09444323485000362,0.09672855058546613
3,20,,6,Karnali Province,61,Dailekh,524 6 61 3 004,Narayan Nagarpalika,Dailekh Hospital,10,Health Facility,18,Designated Hospital at Province,1,,089-420127,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.82714,81.71029,20,6,Narayan Nagarpalika,17163.8606112047,21717.06480480678,24028.052442863467,21227.708785254392,17269.50081493333,14882.799813827878,13063.798277692345,10823.6383900957,9100.657898740581,7660.661107577311,15895.055948875204,6000.9272424568335,4737.601918622007,3676.2980589651634,2775.2522867377193,1825.4347784254533,18361.012301172304,20544.649486316077,20800.963316775218,16751.49550883629,13818.463987502008,11981.617144019372,10798.579309404304,9246.810267573339,8102.126760008832,6872.8900150103,16211.356880950392,5260.239677999329,4357.743221708864,3336.1069791968475,2624.385778377444,1726.2028602516693,170794.6434951026,174684.45256987415,17304.678517534154,19015.514285207177,345479.0960649767,36320.19280274133,0.10512992889129921,0.10131862547568919,0.10885636360569027
4,38,,5,Province 5,51,Gulmi,524 5 51 3 002,Resunga Nagarpalika,Tamghas Hospital,10,Health Facility,18,Designated Hospital at Province,1,,079-540024,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.06831,83.24872,38,5,Resunga Nagarpalika,60240.47497186315,67078.41406518206,71443.35000594807,63105.439933459405,52084.067894039516,43915.3232141623,36760.1581374612,28776.515222072034,22362.156827414605,19022.609586700542,62234.73534288388,16886.427732473676,12702.632300488862,9104.02401236596,5070.683356522361,3335.265062256418,63757.50278365481,63840.284400113596,70735.01256469084,63573.118054512175,52191.00349615159,45178.9786787419,36485.58869104559,29458.847962765904,22248.532824160015,18618.4713857296,62794.83521930684,15210.64948588868,11979.048099488424,8318.345883062128,4765.721840774355,3134.6775428183655,572290.6189129048,513881.802693431,43408.442852031956,47099.03246410727,1086172.4216063358,90507.47531613923,0.08332698705633504,0.07585034843745737,0.09165343512310627
5,40,,5,Province 5,48,Rupandehi,524 5 48 2 001,Butwal Upamahanagarpalika,Lumbini Zonal Hospital,10,Health Facility,18,Designated Hospital at Province,1,,071-540200,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,27.6977,83.46437,40,5,Butwal Upamahanagarpalika,110281.26371083152,118203.53848194168,128082.46786601073,108696.02130799065,91408.13023468968,78764.79755881988,64651.04680728936,53038.29112915869,41489.55106547405,35383.36135760957,112039.99977023294,31267.14536488446,24343.010328730743,17882.12553106823,11058.790088836118,7273.969360862538,116233.20628901152,110799.97404088336,114320.51183768106,102031.12508977694,90870.16694164008,78497.58251145121,66298.9168758773,54129.212746243924,42312.23452781368,35322.32288432965,113410.92767973477,28860.840112499543,22810.753840591497,16176.749827400316,10604.210130211271,6974.972408721042,1009653.7077438672,923582.2462535994,85427.52631942366,91825.0406743821,1933235.9539974667,177252.56699380575,0.09168698038503273,0.08461071916461009,0.09942270008638576
6,45,,4,Gandaki Province,43,Baglung,524 4 43 3 003,Baglung Nagarpalika,Dhaulagiri Zonal Hospital,10,Health Facility,18,Designated Hospital at Province,1,Dr.Shailendra Pokhrel,9851176425,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.26823,83.60075,45,4,Baglung Nagarpalika,46158.903624826264,45652.05752474146,48380.4200154982,41878.045948671555,34596.42917487287,30088.96657962245,25070.55334375805,19987.680385437794,16452.360498161797,13162.336619125157,53800.908716197126,15479.2562675372,9492.629282534572,6184.448484029661,3069.236883747819,2018.8045131495765,47831.68232022057,45106.42997294095,54741.071630266204,51306.324710383036,40175.17996879607,35556.2916276333,28142.449046030713,22898.682925021603,16557.43568339092,14996.751399536213,53328.185815404635,13334.112697100472,8491.835808030562,5198.520418271611,3068.457119212073,2018.2931194038247,442751.70426164276,365314.13423708535,32111.21916201854,36244.37543099882,808065.8384987281,68355.59459301736,0.08459161535650657,0.07252647218053962,0.09921427077189565
7,61,,4,Gandaki Province,36,Gorkha,524 4 36 3 002,Gorkha Nagarpalika,Gorkha Hospital,10,Health Facility,18,Designated Hospital at Province,1,,064-420208,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,27.99464,84.62814,61,4,Gorkha Nagarpalika,36859.963100162626,37545.501788213965,39369.16931974917,33961.229865304194,28613.96217406745,24670.589670423244,21625.572679999663,18438.007964890887,14267.460467756755,11664.932914271762,41999.055067399924,11621.753332019274,8074.520529873378,5825.622562486016,3248.739902798701,2136.8734318149545,38987.909115910064,37393.6396235124,41346.47025433666,38131.376663284376,29748.890792820835,26389.573995053943,21656.9181749954,19585.382970151113,15031.10089732107,12530.98869271067,41281.63773238874,10620.6388804538,7349.9319765982655,5329.927012679771,3289.044052225632,2163.3852518524363,350836.8160862952,303062.99167106935,28752.927173809905,30907.509758992324,653899.8077573644,59660.43693280223,0.09123788724975401,0.08195527337911299,0.1019837809577816
8,66,,2,Province 2,33,Bara,524 2 33 2 002,Kalaiya Upamahanagarpalika,Kalaiya/Barewa Hospital,10,Health Facility,18,Designated Hospital at Province,1,,053-550012,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,27.0275,85.0027,66,2,Kalaiya Upamahanagarpalika,173120.23030861234,150199.69088429352,171949.47824604996,181666.47569044726,167780.02866821596,141073.07411497505,116152.04026661906,94921.77557308646,72847.47130127135,65497.568597668316,198049.49999782955,51959.58091308386,40525.47015342291,28027.05715863034,14119.234515038668,9286.990895234689,188378.6279275082,178409.79824645305,194295.76137963077,190760.5313617983,165031.4037750205,153606.4465567912,126031.32712905062,104164.13981406018,79108.63699067617,69482.91325909481,201178.63019388216,56634.304110342404,43821.65364582196,30945.418727577082,14943.665601002635,9829.271267091564,1806622.5299858015,1504055.4369758673,156174.31335183565,143918.33363541047,3310677.966961669,300092.6469872461,0.09064386508804788,0.08644545872737623,0.09568685441859791
9,69,,3,Bagmati Province,27,Kathmandu,524 3 27 3 008,Chandragiri Nagarpalika,Armed Police Force Hospital,10,Health Facility,14,Designated Valley Hospital,3,,985-1272008,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,27.69035,85.25199,69,3,Chandragiri Nagarpalika,16355.204685869627,20634.08490748424,22748.961901376024,21079.528956295922,17398.150908279233,14837.574098099489,13536.424967935309,11275.834551721346,9508.66645604372,7480.213862574659,16018.24021667242,5077.809433007147,3942.4736645394005,2746.4558916558744,2101.851912173908,1382.5026396539179,17552.605147817172,21176.16731840279,23640.43671422545,21553.04929290712,18380.265592303127,15211.123816189356,14157.4345515077,11869.714708134532,10296.581433529034,8147.086666973308,15811.883754983544,6015.6206121495925,4501.096332621528,3270.6104581024265,2461.0468208204256,1618.765909542737,195663.48913020984,169768.7743675126,17867.14013323671,15251.093541030248,365432.26349772245,33118.23367426696,0.090627558052146,0.09131565737001916,0.08983450341707089
