,gridcode,id,province_id,province__name,district_id,district__name,municipality_id,municipality__name,name,category,category__name,type,type__name,ownership,contact_person,contact_num,used_for_corona_response,num_of_bed,num_of_icu_bed,occupied_icu_bed,num_of_ventilators,occupied_ventilators,num_of_isolation_bed,occupied_isolation_bed,total_tested,total_positive,total_death,total_in_isolation,hlcit_code,remarks,lat,long,robert_ID,PROVINCE,adm1_lon,adm1_lat,PALIKA,adm2_lon,adm2_lat,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_5,f_60,f_65,f_70,f_75,f_80,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_5,m_60,m_65,m_70,m_75,m_80,male_total,female_total,male_highrisk,female_highrisk,total,all_highrisk,all_risk_pct,male_risk_pct,female_risk_pct
0,1,,7,Sudoorpaschim Province,72,Kanchanpur,524 7 72 3 002,Bhimdatta Nagarpalika,Mahakali Zonal Hospital,12,Health Facility,6,Hub Hospital,0,,099 - 521111,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,28.96378,80.18505,1,7,494114.63362961373,3243863.115679738,Bhimdatta Nagarpalika,418967.53039891017,3209017.7219935493,8640.419793374836,10685.452597215772,10794.575465276837,9683.834484983236,8036.8433668501675,7394.425446646288,6670.796446599066,5920.898830674589,5291.322307195514,4730.3762221597135,7607.7815122623,3772.20497249905,3013.2218487756327,2310.1182182868943,1844.251213029027,1213.0647032428533,8963.682854559273,9676.568505149335,7728.891676610336,5908.312265912071,5199.773886878043,4464.348121073097,4411.594622289762,4067.4576461669058,4035.7212752336636,3750.0902805840597,7581.3157310038805,3123.1276329131797,2727.0270277634263,2222.9829700887203,1735.8966407878324,1141.7947128680535,76738.58584988164,88969.16763569694,10950.828984421212,12152.860955833457,165707.75348557858,23103.68994025467,0.1394243145192682,0.14270303346276875,0.13659632071186634
1,2,,7,Sudoorpaschim Province,72,Kanchanpur,524 7 72 3 002,Bhimdatta Nagarpalika,Mahakali Hospital,10,Health Facility,18,Designated Hospital at Province,1,,099 - 521111,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.96395,80.18549,2,7,494114.63362961373,3243863.115679738,Bhimdatta Nagarpalika,418967.53039891017,3209017.7219935493,16384.42696939176,20081.091592501383,20379.483516208827,18343.090934188105,15227.309379866347,14010.02287537558,12746.403545577079,11289.415980879217,10078.782389185391,8924.698630811414,14415.843206252903,7139.640869430266,5689.715007045073,4430.414640547824,3520.3951088698814,2315.5560504526948,16971.48423997732,18347.790388915222,14724.708374115173,11459.471167082898,10014.492052048445,8686.999096155865,8606.772644624347,7982.287324638106,7850.600531745702,7201.3801838222425,14420.318053446244,5997.69568856922,5174.6213417146355,4268.997880937299,3355.9670250582276,2207.4041449483484,147270.9901377993,168591.863727192,21004.68608122773,23095.72167634574,315862.8538649913,44100.40775757347,0.13961884792069673,0.14262609398887013,0.13699191150599196
2,3,,7,Sudoorpaschim Province,74,Baitadi,524 7 74 3 004,Patan Nagarpalika,Baitadi District Hospital,12,Other Facilities,19,District Level Hospital,0,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,29.46337,80.54996,3,7,494114.63362961373,3243863.115679738,Patan Nagarpalika,459106.59222225106,3257388.41539983,8767.241009148769,10312.828201706987,9901.228717431892,8938.303325424436,7627.792481561657,7117.29438148858,6792.094954890665,5877.1492104309145,5217.346389533486,4161.767278556246,7525.349338203203,3418.105148606235,2770.715030982974,2382.724771953537,2016.417692522169,1326.307910028554,8889.35706755286,9287.963842814323,7204.204714332707,6612.003094173968,5598.255812457763,5237.427021560725,5338.1820152367,4967.889980452135,4790.671321079833,4009.693010040093,7336.144912905991,3185.5323371584527,2643.725022688159,2250.089783299016,2003.369615466916,1317.7264223987586,80672.2359736184,85385.42483332154,11400.443181011302,11914.27055409347,166057.66080693994,23314.71373510477,0.1404013137473414,0.14131805129015512,0.1395351791872088
3,4,,7,Sudoorpaschim Province,73,Dadeldhura,524 7 73 3 002,Amargadhi Nagarpalika,Dadeldhura District Hospital,12,Other Facilities,19,District Level Hospital,0,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,29.29925,80.58698,4,7,494114.63362961373,3243863.115679738,Amargadhi Nagarpalika,459504.66339216847,3239372.7349867187,3180.028336041607,3690.0229887627065,3836.674850623589,3529.9362622159533,2954.446350268321,2711.502837114036,2608.373779804213,2273.8204941251315,2018.5907394911628,1680.1647634627298,2817.4334085092414,1375.0615416133078,1075.9770478118444,931.8580786684761,725.0350092696608,476.8951086261659,3283.182835314423,3548.17768109357,2939.271290960489,2544.340899812756,2135.7448328742757,1960.9944176187273,1979.8367217292544,1899.4831388064194,1782.0447734594345,1519.6147832777351,2868.049728042446,1264.2206030302914,1011.1396300004562,896.7182595437625,739.9843014425132,486.7284087566077,30859.53230576316,32705.79326036654,4398.791202773631,4584.826785989455,63565.3255661297,8983.617988763086,0.14132890705353263,0.14254238072014255,0.14018393467757376
4,6,,7,Sudoorpaschim Province,71,Kailali,524 7 71 2 001,Dhangadhi Upamahanagarpalika,Seti Zonal Hospital,10,Health Facility,18,Designated Hospital at Province,1,,091-524281,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.70354,80.5876,5,7,494114.63362961373,3243863.115679738,Dhangadhi Upamahanagarpalika,466275.18150721333,3174037.630224072,46916.799411968794,58158.74186828872,59127.51483989321,52915.74066909589,43527.77902501915,40015.58506537927,36036.79297524155,32217.315508823376,28516.294242457254,25302.475285903318,41491.870974408,20335.69040296576,16357.63058054226,12507.740863517043,9852.41136366711,6480.4687697922345,48766.817897986155,53072.62710106699,42481.9997629798,32721.441589727532,28721.897017741576,24846.980194316013,24321.271145086735,22282.117622054182,21886.585927980952,20409.05113625247,41573.986274166964,16907.98576800304,14780.033536990639,12052.703768973937,9386.818758453359,6174.227127971419,420386.54462975176,482844.05243499414,59301.76896039239,65533.94198048441,903230.5970647458,124835.7109408768,0.1382102326322414,0.1410648597533525,0.13572486116375498
5,6,,7,Sudoorpaschim Province,71,Kailali,524 7 71 2 001,Dhangadhi Upamahanagarpalika,Seti Zonal Hospital,12,Health Facility,6,Hub Hospital,0,,091-524281,FALSE,0,0,0,0,0,0,0,0,1,0,1,,,28.70398,80.58783,6,7,494114.63362961373,3243863.115679738,Dhangadhi Upamahanagarpalika,466275.18150721333,3174037.630224072,46916.799411968794,58158.74186828872,59127.51483989321,52915.74066909589,43527.77902501915,40015.58506537927,36036.79297524155,32217.315508823376,28516.294242457254,25302.475285903318,41491.870974408,20335.69040296576,16357.63058054226,12507.740863517043,9852.41136366711,6480.4687697922345,48766.817897986155,53072.62710106699,42481.9997629798,32721.441589727532,28721.897017741576,24846.980194316013,24321.271145086735,22282.117622054182,21886.585927980952,20409.05113625247,41573.986274166964,16907.98576800304,14780.033536990639,12052.703768973937,9386.818758453359,6174.227127971419,420386.54462975176,482844.05243499414,59301.76896039239,65533.94198048441,903230.5970647458,124835.7109408768,0.1382102326322414,0.1410648597533525,0.13572486116375498
6,7,,7,Sudoorpaschim Province,73,Dadeldhura,524 7 73 3 002,Amargadhi Nagarpalika,Far-west Sub Regional Hospital,12,Health Facility,6,Hub Hospital,0,,nan,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,29.30507,80.59003,7,7,494114.63362961373,3243863.115679738,Amargadhi Nagarpalika,459504.66339216847,3239372.7349867187,1066.7981957495213,1235.679955757223,1262.8891214085743,1162.051812441554,977.0541178728454,909.4468510062434,881.9636329626665,764.6372500672005,686.3038553074002,565.5633246442303,921.1121269478463,456.8249340339098,359.43341636273544,310.80488878814504,247.9691285789013,163.1028340992052,1096.0715494584292,1184.381369756069,944.9404229391366,823.678547624033,700.1450521869119,651.4863972628955,665.3012747850735,640.0605876655318,611.3442243428435,511.51205537538044,936.8753492897376,426.0307296225801,342.1353907058947,304.61728668631986,254.6524600838311,167.49894108372973,10260.731638868398,10904.83725027868,1494.9348081823555,1538.1352018628968,21165.568889147078,3033.0700100452523,0.14330207829190447,0.14569475752776087,0.14105072515626849
7,8,,7,Sudoorpaschim Province,70,Doti,524 7 70 3 002,Dipayal Silgadi Nagarpalika,Doti District Hospital,12,Other Facilities,19,District Level Hospital,0,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,29.27058,80.98797,8,7,494114.63362961373,3243863.115679738,Dipayal Silgadi Nagarpalika,496919.21167449,3237197.049321401,6003.632525889669,7121.091604432557,7770.648542622337,7058.343379760976,5830.1865426991135,4970.560066897422,4526.350790816592,4044.640400914883,3344.0094151090016,2855.7146925628767,5885.091666413413,2509.040318621439,1962.6716073246498,1709.8019303287729,1237.207539512805,813.7788915919082,6284.327803889988,6771.497536625946,6653.624885872938,5530.9392221528105,4488.101768784225,3861.013305443106,3635.6611535546836,3344.0517952141818,2851.641908973921,2681.6159044229425,5877.733930446964,2150.0277333444683,1725.7662182188942,1450.4080377946666,1183.8850945332233,778.706356278286,59269.002655551245,61639.137389608746,7288.793440169538,8232.500287379575,120908.14004515999,15521.293727549113,0.12837261181713494,0.12297816925533935,0.1335596284442395
8,9,,7,Sudoorpaschim Province,71,Kailali,524 7 71 3 005,Tikapur Nagarpalika,Tikapur Hospital,12,Other Facilities,19,District Level Hospital,0,,091-560150,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,28.53423,81.12064,9,7,494114.63362961373,3243863.115679738,Tikapur Nagarpalika,508474.4035998433,3150953.5969591937,38969.82668628963,48587.222369687166,50477.39996213908,44566.82422262989,35145.79789763852,32278.06410433096,28870.021339369356,26593.486420090194,22642.462373346905,19307.224023440853,35092.67358757439,16070.778354268637,13319.030385711114,9942.37045040686,7373.973219186679,4850.264522054029,40649.00584592414,45166.7546180645,35925.15802389197,28646.997813224792,24965.685419356218,22331.926545324503,21075.354698636685,18903.742851345916,17888.933187869377,16755.274863151717,36021.26655964018,13675.744120711694,12030.5715747723,9793.592922781158,7498.287387331133,4932.036379414349,356260.33281144063,395117.59323187463,47930.23238501063,51556.41693162732,751377.9260433152,99486.64931663795,0.1324056055792392,0.13453710102039024,0.1304837289322408
9,10,,7,Sudoorpaschim Province,67,Bajhang,524 7 67 3 002,JayaPrithivi Nagarpalika,Bajhang District Hospital,12,Other Facilities,19,District Level Hospital,0,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,29.54773,81.19352,10,7,494114.63362961373,3243863.115679738,JayaPrithivi Nagarpalika,518588.11044273304,3267853.024478148,3285.88999317016,3636.565492188791,4859.246070011519,4805.805399444187,4100.976519889431,4020.3734404055867,3399.8016092812177,2765.4794816311914,2292.035910917446,2204.600951830973,2941.143352680956,1985.360228599864,1312.5147247678833,1510.8070450547384,819.3725196889136,538.9459765766806,3115.196881860844,4960.422441937262,8842.045378250536,13487.462751693092,8037.701552535407,6533.650112123229,5557.592688625213,4397.390260817716,3402.177320216084,2429.8402582333656,2918.304904192104,1542.1374251137022,1328.1038240148919,1097.4604320400394,681.900029430195,448.5231684001483,68779.90942948383,41193.02872296938,5098.124878998977,6167.00049468808,109972.93815245321,11265.125373687057,0.10243543150652615,0.07412229706736961,0.14970980978753182
