,gridcode,id,province_id,province__name,district_id,district__name,municipality_id,municipality__name,name,category,category__name,type,type__name,ownership,contact_person,contact_num,used_for_corona_response,num_of_bed,num_of_icu_bed,occupied_icu_bed,num_of_ventilators,occupied_ventilators,num_of_isolation_bed,occupied_isolation_bed,total_tested,total_positive,total_death,total_in_isolation,hlcit_code,remarks,lat,long,robert_ID,PROVINCE,adm1_lon,adm1_lat,PALIKA,adm2_lon,adm2_lat,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_5,f_60,f_65,f_70,f_75,f_80,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_5,m_60,m_65,m_70,m_75,m_80,male_total,female_total,male_highrisk,female_highrisk,total,all_highrisk,all_risk_pct,male_risk_pct,female_risk_pct
0,1,,7,Sudoorpaschim Province,72,Kanchanpur,524 7 72 3 002,Bhimdatta Nagarpalika,Mahakali Zonal Hospital,12,Health Facility,6,Hub Hospital,0,,099 - 521111,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,28.96378,80.18505,1,7,494114.63362961373,3243863.115679738,Bhimdatta Nagarpalika,418967.53039891017,3209017.7219935493,8640.419793374836,10685.452597215772,10794.575465276837,9683.834484983236,8036.8433668501675,7394.425446646288,6670.796446599066,5920.898830674589,5291.322307195514,4730.3762221597135,7607.7815122623,3772.20497249905,3013.2218487756327,2310.1182182868943,1844.251213029027,1213.0647032428533,8963.682854559273,9676.568505149335,7728.891676610336,5908.312265912071,5199.773886878043,4464.348121073097,4411.594622289762,4067.4576461669058,4035.7212752336636,3750.0902805840597,7581.3157310038805,3123.1276329131797,2727.0270277634263,2222.9829700887203,1735.8966407878324,1141.7947128680535,76738.58584988164,88969.16763569694,10950.828984421212,12152.860955833457,165707.75348557858,23103.68994025467,0.1394243145192682,0.14270303346276875,0.13659632071186634
1,2,,7,Sudoorpaschim Province,72,Kanchanpur,524 7 72 3 002,Bhimdatta Nagarpalika,Mahakali Hospital,10,Health Facility,18,Designated Hospital at Province,1,,099 - 521111,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.96395,80.18549,2,7,494114.63362961373,3243863.115679738,Bhimdatta Nagarpalika,418967.53039891017,3209017.7219935493,16565.964845893905,20292.72838104423,20599.940872927196,18545.71026875917,15396.072462426033,14165.709205470514,12895.340090442915,11419.451616118196,10194.679500047816,9021.754787769867,14574.864906104747,7218.441842556465,5751.572276859079,4483.059041443863,3561.3663330103736,2342.505061563337,17158.68616094254,18551.904721701983,14892.176032927353,11602.969853462186,10135.620857377071,8797.868329890538,8718.388045837171,8088.964161183918,7951.593896594597,7287.637028494151,14582.985491524916,6069.6955943079665,5232.6860299312975,4320.318319875165,3397.7856881808257,2234.9105817547534,149024.19079398643,170463.1966465438,21255.396214050008,23356.944555433118,319487.38744053023,44612.340769483126,0.13963725180790532,0.14263050918648387,0.1370204537690552
2,3,,7,Sudoorpaschim Province,74,Baitadi,524 7 74 3 004,Patan Nagarpalika,Baitadi District Hospital,12,Other Facilities,19,District Level Hospital,0,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,29.46337,80.54996,3,7,494114.63362961373,3243863.115679738,Patan Nagarpalika,459106.59222225106,3257388.41539983,11887.692818798125,13988.496973249596,13557.074709777255,12273.847961602733,10449.29145131493,9711.323987835553,9205.665868963115,7948.053156818729,7056.391232507536,5638.569737062091,10243.569953127299,4638.381424972322,3747.830843149801,3211.9997711578617,2702.569332965417,1777.6272679346148,12065.325923400465,12653.45690667443,10021.993341749068,9268.314041652484,7761.010913838167,7207.756305833114,7298.897099975264,6750.592209547991,6489.832416765392,5433.102473437786,10011.2135115657,4305.77353043505,3561.430094133364,3028.8401748305187,2671.823367903591,1757.4052340042545,110286.76754574664,116150.69367243885,15325.272401306778,16078.408640180016,226437.4612181855,31403.681041486794,0.13868589089694636,0.1389583967537166,0.13842714263526804
3,4,,7,Sudoorpaschim Province,73,Dadeldhura,524 7 73 3 002,Amargadhi Nagarpalika,Dadeldhura District Hospital,12,Other Facilities,19,District Level Hospital,0,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,29.29925,80.58698,4,7,494114.63362961373,3243863.115679738,Amargadhi Nagarpalika,459504.66339216847,3239372.7349867187,3367.814484857954,3908.7450130428188,4067.2094659768045,3741.072206690442,3130.3993755264673,2869.471850173315,2758.317394333426,2405.9205833759625,2133.3883738061413,1776.8204903216101,2990.2546455876436,1456.1359056980582,1139.2351527671563,986.796763690887,766.5097502713325,504.1753096327302,3477.7991311005317,3756.866018343717,3120.287932009669,2699.362760872813,2264.1086339119356,2076.8284433830995,2094.927881826181,2009.1825563588645,1882.0634545935318,1607.9039044659585,3042.857155879028,1337.080502443132,1069.398112096358,947.6571363803232,781.7045274333213,514.1700976081775,32682.19824870664,34634.452280894795,4650.010375961312,4852.852882060164,67316.65052960144,9502.863258021476,0.14116660860662908,0.14227960862899822,0.14011634550193583
4,6,,7,Sudoorpaschim Province,71,Kailali,524 7 71 2 001,Dhangadhi Upamahanagarpalika,Seti Zonal Hospital,10,Health Facility,18,Designated Hospital at Province,1,,091-524281,TRUE,0,0,0,0,0,0,0,0,0,0,0,,,28.70354,80.5876,5,7,494114.63362961373,3243863.115679738,Dhangadhi Upamahanagarpalika,466275.18150721333,3174037.630224072,47127.32399817323,58410.98281858908,59396.36178262904,53157.53512792941,43725.34703547857,40188.05629616161,36194.33337044297,32360.53150942619,28635.362744220998,25404.808001746656,41695.61589054763,20425.01683394704,16428.466505538556,12567.263041590923,9895.18441972672,6508.602942299913,48986.93864943599,53308.40038325451,42695.12693074485,32897.87271340913,28867.232911794214,24974.630819101585,24443.31707115355,22395.100210918114,21985.418474225095,20503.4929134422,41778.317218591925,16984.22629234451,14842.794556819485,12105.07451865822,9428.764322723262,6201.817033626663,422398.5250202433,484993.4683202753,59562.67672417214,65824.53374310315,907391.9933405187,125387.21046727529,0.13818417110522266,0.14101061721585703,0.1357225159569254
5,6,,7,Sudoorpaschim Province,71,Kailali,524 7 71 2 001,Dhangadhi Upamahanagarpalika,Seti Zonal Hospital,12,Health Facility,6,Hub Hospital,0,,091-524281,FALSE,0,0,0,0,0,0,0,0,1,0,1,,,28.70398,80.58783,6,7,494114.63362961373,3243863.115679738,Dhangadhi Upamahanagarpalika,466275.18150721333,3174037.630224072,47127.32399817323,58410.98281858908,59396.36178262904,53157.53512792941,43725.34703547857,40188.05629616161,36194.33337044297,32360.53150942619,28635.362744220998,25404.808001746656,41695.61589054763,20425.01683394704,16428.466505538556,12567.263041590923,9895.18441972672,6508.602942299913,48986.93864943599,53308.40038325451,42695.12693074485,32897.87271340913,28867.232911794214,24974.630819101585,24443.31707115355,22395.100210918114,21985.418474225095,20503.4929134422,41778.317218591925,16984.22629234451,14842.794556819485,12105.07451865822,9428.764322723262,6201.817033626663,422398.5250202433,484993.4683202753,59562.67672417214,65824.53374310315,907391.9933405187,125387.21046727529,0.13818417110522266,0.14101061721585703,0.1357225159569254
6,7,,7,Sudoorpaschim Province,73,Dadeldhura,524 7 73 3 002,Amargadhi Nagarpalika,Far-west Sub Regional Hospital,12,Health Facility,6,Hub Hospital,0,,nan,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,29.30507,80.59003,7,7,494114.63362961373,3243863.115679738,Amargadhi Nagarpalika,459504.66339216847,3239372.7349867187,1104.1566970478743,1279.71791875083,1306.576722922735,1201.8976651798002,1010.7827014192007,940.975831202697,912.5925149973482,791.2349074496888,710.0992426471785,584.9371406007558,953.5945932804607,472.52436392358504,371.94471902388614,321.6260015652515,256.82773805223405,168.92962506087497,1134.751711089164,1225.5370466350578,976.6992546711117,851.3896868112497,724.0473237733822,673.9568713766057,688.4154984683264,662.2267755116336,632.66657141014,529.3643682438415,969.3976262025535,440.7306906362064,354.0954034263268,315.12700969865546,263.6974241640419,173.448311774584,10615.55157389288,11284.261686076527,1547.0988396998146,1591.8524476258317,21899.813259969407,3138.9512873256463,0.1433323311967835,0.14573890286630395,0.1410683739805497
7,8,,7,Sudoorpaschim Province,70,Doti,524 7 70 3 002,Dipayal Silgadi Nagarpalika,Doti District Hospital,12,Other Facilities,19,District Level Hospital,0,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,29.27058,80.98797,8,7,494114.63362961373,3243863.115679738,Dipayal Silgadi Nagarpalika,496919.21167449,3237197.049321401,6677.681075624074,7924.231931584422,8634.596048625535,7843.735466551734,6482.1630366561,5534.707901927293,5042.742095507798,4501.096026194806,3726.639845263853,3177.245826785569,6527.781083782029,2786.537818186276,2181.4643667370547,1900.4652948342264,1380.2534661005193,907.8680011089309,6988.449716773583,7537.807822989067,7395.654579760507,6158.683150915429,4999.5858930905815,4304.210923142848,4054.56525134563,3726.838956075255,3185.488301599864,2984.739479415468,6518.398159330187,2391.8429804638145,1921.3400289025158,1615.2736553897848,1321.2231563866808,869.04115504316,65973.14321062437,68551.52820984615,8118.720976185956,9156.588946967007,134524.67142047052,17275.309923152963,0.12841741028422382,0.12306099999307764,0.1335723533243105
8,9,,7,Sudoorpaschim Province,71,Kailali,524 7 71 3 005,Tikapur Nagarpalika,Tikapur Hospital,12,Other Facilities,19,District Level Hospital,0,,091-560150,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,28.53423,81.12064,9,7,494114.63362961373,3243863.115679738,Tikapur Nagarpalika,508474.4035998433,3150953.5969591937,39213.60204834002,48888.656046318356,50823.281954135746,44886.016201944556,35405.081467123004,32496.905633224407,29056.978353699902,26752.286601484288,22774.38101770298,19416.12401556241,35318.871440876974,16158.504567337339,13390.701089817274,9999.253787979338,7416.9647189299285,4878.54237702566,40911.550894280896,45483.022555631585,36266.25766069512,28926.151123197982,25198.644266868243,22525.800304733682,21240.955390861724,19041.163593246485,18006.421776274103,16855.705159135803,36255.59220813098,13754.765451023239,12096.151416934445,9846.477245912887,7539.112630528252,4958.88938830515,358906.6610657606,397662.5492731622,48195.39613270397,51843.96654108954,756569.2103389227,100039.36267379351,0.1322276419747224,0.134283927719785,0.13037176026721314
9,10,,7,Sudoorpaschim Province,67,Bajhang,524 7 67 3 002,JayaPrithivi Nagarpalika,Bajhang District Hospital,12,Other Facilities,19,District Level Hospital,0,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,,,29.54773,81.19352,10,7,494114.63362961373,3243863.115679738,JayaPrithivi Nagarpalika,518588.11044273304,3267853.024478148,4266.436372704222,4732.99119929201,6264.694400055334,6180.743340289977,5273.0645352419815,5159.976941204513,4376.023295278661,3567.371837194718,2960.074311169592,2835.010690964031,3821.1992894248106,2549.155768370343,1693.6105607133213,1936.1661437864823,1060.6275374183606,697.6325556063312,4056.8254910659743,6377.097006553027,11217.140046775341,17027.44806105341,10175.10712001624,8281.138308798429,7057.523309284181,5597.2884933129535,4343.007481553708,3114.3463929216086,3789.81901696109,1987.7875773611013,1709.9481595141115,1413.9533378652413,887.9729777944449,584.068684890568,87620.47146572144,53108.342406010466,6583.730737425467,7937.1925658948385,140728.8138717319,14520.923303320305,0.10318372552017305,0.07513918411179893,0.14945283935272205
